least_squares,regularized_LS,L1-regularized_LS,robust_regression,bayesian_regression_mu,bayesian_regression_deviation
-0.099,0.82,0.903,-0.772,0.735,0.338
3.794,0.219,0.0,3.025,0.115,0.571
6.491,0.601,0.411,13.149,0.448,0.719
-10.745,-0.292,-0.0,-7.576,-0.202,0.717
-5.522,0.067,0.0,-19.78,0.137,0.692
8.632,-0.265,-0.394,5.642,-0.237,0.661
0.654,-0.135,0.0,12.194,0.004,0.648
-3.046,-0.192,-0.157,-2.164,-0.227,0.306
0.764,0.24,0.201,-3.157,0.154,0.234
0.31,0.01,0.004,0.245,0.016,0.013
-0.175,-0.056,-0.053,0.291,-0.043,0.008
